Ampere,Leder,Fasekonfigurasjon,Beskrivelse,Pris_USD
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Straight length, 1 meter",$75.46 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Straight length, 3 meters max.",$226.38 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - L horizontal elbow",$89.63 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - L vertical elbow",$104.72 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - L horizontal elbow, special angle",$98.59 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - L veritcal elbow, special angle",$115.19 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Z horizontal offset", $-   
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Z vertical offset", $-   
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Tee horizontal offset",$143.99 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Tee vertical offset",$143.99 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Switchboard/panel flange end",$94.94 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Transformer flange end", $-   
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Expansion Joint",$66.22 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - End cap",$16.94 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - End  tap box - EMPTY", $-   
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - End  tap box - with 400A MCCB, 3P, 36kA", $-   
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - End  tap box - with 400A MCCB, 4P, 36kA", $-   
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Outlet for tap-off boxes",$15.40 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Flexible set",$103.18 
400A,AL,"4W: 100%N, L3, L2, L1","XAP-B 400A, 4W - Joint",$27.72 
,,,,
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Straight length, 1 meter",$80.08 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Straight length, 3 meters max.",$240.24 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L horizontal elbow",$94.86 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L vertical elbow",$110.88 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L horizontal elbow, special angle",$104.35 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L veritcal elbow, special angle",$121.97 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Z horizontal offset", $-   
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Z vertical offset", $-   
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Tee horizontal offset",$150.92 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Tee vertical offset",$150.92 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Switchboard/panel flange end",$100.41 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Transformer flange end", $-   
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Expansion Joint",$69.30 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End cap",$18.48 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End  tap box - EMPTY", $-   
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End  tap box - with 400A MCCB, 3P, 36kA", $-   
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End  tap box - with 400A MCCB, 4P, 36kA", $-   
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Outlet for tap-off boxes",$15.40 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Flexible set",$115.50 
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Joint",$27.72 
,,,,
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Straight length, 1 meter",$78.54 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Straight length, 3 meters max.",$235.62 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - L horizontal elbow",$92.09 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - L vertical elbow",$107.80 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - L horizontal elbow, special angle",$101.30 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - L veritcal elbow, special angle",$118.58 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Z horizontal offset", $-   
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Z vertical offset", $-   
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Tee horizontal offset",$148.61 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Tee vertical offset",$148.61 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Switchboard/panel flange end",$97.56 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Transformer flange end", $-   
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Expansion Joint",$69.30 
