Ampere,Leder,Fasekonfigurasjon,Beskrivelse,Pris_USD
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Straight length, 1 meter",$80.08
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Straight length, 3 meters max.",$240.24
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L horizontal elbow",$94.86
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L vertical elbow",$110.88
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L horizontal elbow, special angle",$104.35
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - L veritcal elbow, special angle",$121.97
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Z horizontal offset",$0.00
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Z vertical offset",$0.00
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Tee horizontal offset",$150.92
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Tee vertical offset",$150.92
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Switchboard/panel flange end",$100.41
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Transformer flange end",$0.00
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Expansion Joint",$69.30
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End cap",$18.48
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End  tap box - EMPTY",$0.00
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End  tap box - with 400A MCCB, 3P, 36kA",$0.00
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - End  tap box - with 400A MCCB, 4P, 36kA",$0.00
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Outlet for tap-off boxes",$15.40
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Flexible set",$115.50
400A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 400A, 5W - Joint",$27.72
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Straight length, 1 meter",$83.16
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Straight length, 3 meters max.",$249.48
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L horizontal elbow",$97.33
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L vertical elbow",$113.96
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L horizontal elbow, special angle",$107.06
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L veritcal elbow, special angle",$125.36
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Z horizontal offset",$0.00
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Z vertical offset",$0.00
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Tee horizontal offset",$158.62
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Tee vertical offset",$158.62
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Switchboard/panel flange end",$103.03
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Transformer flange end",$0.00
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Expansion Joint",$70.84
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End cap",$18.48
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End  tap box - EMPTY",$0.00
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End  tap box - with 500A MCCB, 3P, 50kA",$0.00
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End  tap box - with 500A MCCB, 4P, 50kA",$0.00
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Outlet for tap-off boxes",$15.40
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Flexible set",$152.46
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Joint",$29.26
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Straight length, 1 meter",$89.32
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Straight length, 3 meters max.",$267.96
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L horizontal elbow",$103.80
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L vertical elbow",$121.66
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L horizontal elbow, special angle",$114.18
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - L veritcal elbow, special angle",$133.83
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Z horizontal offset",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Z vertical offset",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Tee horizontal offset",$170.94
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Tee vertical offset",$170.94
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Switchboard/panel flange end",$111.34
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Transformer flange end",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Expansion Joint",$72.38
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End cap",$18.48
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - EMPTY",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - with 630A MCCB, 3P, 50kA",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - with 630A MCCB, 4P, 50kA",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Outlet for tap-off boxes",$15.40
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Flexible set",$166.32
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Joint",$30.80
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Straight length, 1 meter",$100.10
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Straight length, 3 meters max.",$300.30
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L horizontal elbow",$113.96
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L vertical elbow",$133.98
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L horizontal elbow, special angle",$125.36
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L veritcal elbow, special angle",$147.38
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Z horizontal offset",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Z vertical offset",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Tee horizontal offset",$193.27
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Tee vertical offset",$193.27
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Switchboard/panel flange end",$122.05
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Transformer flange end",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Expansion Joint",$75.46
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End cap",$18.48
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - EMPTY",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - with 800A MCCB, 3P, 50kA",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - with 800A MCCB, 4P, 50kA",$0.00
