ID,code,qty,type,ledermateriell,ampere,element_type_1,element_type_2,element_type_3,retning,standard_element,A,B,C,U,price,Unnamed: 16,Unnamed: 17,Unnamed: 18,Headerindekser,Unnamed: 20,n,raw_row,desc_text,price_original,Reference,XCM/XCP
L1.01,64281004P,1,     Al                                                                                            ,       1250A                                                                                       ,            board-trans                                                                            ,                       feed                                                                        ,                           RH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,0,0,200,3587.26,,,,ID,1,1,11,XCP-S Al 1250A board-trans feed RH std,3580.51,ZU-64281004P,"kr 3,587.26"
L1.02,64280424P,1,     Al                                                                                            ,       1250A                                                                                       ,            vertical                                                                               ,                    elbow                                                                          ,                         RH                                                                        ,                           spec                                                                    ,                                                                                                   ,                                                                                                   ,300,300,0,0,6684.41,,,,code,2,2,12,XCP-S Al 1250A vertical elbow RH spec,6843.69,ZU-64280424P,"kr 6,684.41"
L1.03,64280104P,1,     Al                                                                                            ,       1250A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=3m                                                                      ,                                                                                                   ,                                                                                                   ,                                                                                                   ,3000,0,0,0,4964.54,,,,qty,3,3,13,XCP-S Al 1250A feeder element L=3m,5184.36,ZU-64280104P,"kr 4,964.54"
0,672EFB02,1,   kit                                                                                             ,      external                                                                                     ,              fire                                                                                 ,                  barrie                                                                           ,                        B160                                                                       ,                            AL                                                                     ,                                                                                                   ,                                                                                                   ,630,1500,0,0,3439.05,,,,description,4,4,14,XCP kit external fire barrie B160 AL,3463.1,ZU-672EFB02,"kr 3,439.05"
L1.04,64280124P,1,     Al                                                                                            ,       1250A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=1501-2000                                                               ,                                                                                                   ,                                                                                                   ,                                                                                                   ,2000,0,0,0,4031.33,,,,A,5,5,15,XCP-S Al 1250A feeder element L=1501-2000,4247.64,ZU-64280124P,"kr 4,031.33"
L1.05,64280114P,1,     Al                                                                                            ,       1250A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=500-1000                                                                ,                                                                                                   ,                                                                                                   ,                                                                                                   ,1000,0,0,0,3242.17,,,,B,6,6,16,XCP-S Al 1250A feeder element L=500-1000,3453.41,ZU-64280114P,"kr 3,242.17"
L1.06,64280314P,1,     Al                                                                                            ,       1250A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,4070.47,,,,C,7,7,17,XCP-S Al 1250A horizontal elbow LH std,4247.08,ZU-64280314P,"kr 4,070.47"
L1.07,6428T014P,1,     Al                                                                                            ,       1250A                                                                                       ,            CRT                                                                                    ,               board-trans                                                                         ,                          feed                                                                     ,                              LH                                                                   ,                                std                                                                ,                                                                                                   ,300,0,0,300,5832.36,,,,U,8,8,18,XCP-S Al 1250A CRT board-trans feed LH std,6012.14,ZU-6428T014P,"kr 5,832.36"
L2.01,64281006P,1,     Al                                                                                            ,       1600A                                                                                       ,            board-trans                                                                            ,                       feed                                                                        ,                           RH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,0,0,200,3726.17,,,,price,9,9,29,XCP-S Al 1600A board-trans feed RH std,3723.25,ZU-64281006P,"kr 3,726.17"
L2.02,64280426P,1,     Al                                                                                            ,       1600A                                                                                       ,            vertical                                                                               ,                    elbow                                                                          ,                         RH                                                                        ,                           spec                                                                    ,                                                                                                   ,                                                                                                   ,300,300,0,0,7163.12,,,,,,10,30,XCP-S Al 1600A vertical elbow RH spec,7322.65,ZU-64280426P,"kr 7,163.12"
L2.03,64280106P,1,     Al                                                                                            ,       1600A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=3m                                                                      ,                                                                                                   ,                                                                                                   ,                                                                                                   ,3000,0,0,0,5930.21,,,,Status,OK,11,31,XCP-S Al 1600A feeder element L=3m,6136.38,ZU-64280106P,"kr 5,930.21"
0,672EFB03,1,   kit                                                                                             ,      external                                                                                     ,              fire                                                                                 ,                  barrier                                                                          ,                         B190                                                                      ,                             AL                                                                    ,                                                                                                   ,                                                                                                   ,630,1500,0,0,3624.57,,,,,,12,32,XCP kit external fire barrier B190 AL,2881.46,ZU-672EFB03,"kr 3,624.57"
L2.04,64280126P,1,     Al                                                                                            ,       1600A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=1501-2000                                                               ,                                                                                                   ,                                                                                                   ,                                                                                                   ,2000,0,0,0,4748.95,,,,,,13,33,XCP-S Al 1600A feeder element L=1501-2000,4944.16,ZU-64280126P,"kr 4,748.95"
L2.05,64280116P,1,     Al                                                                                            ,       1600A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=500-1000                                                                ,                                                                                                   ,                                                                                                   ,                                                                                                   ,1000,0,0,0,3767.76,,,,,,14,34,XCP-S Al 1600A feeder element L=500-1000,4052.68,ZU-64280116P,"kr 3,767.76"
L2.06,64280316P,1,     Al                                                                                            ,       1600A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,4416.76,,,,,,15,35,XCP-S Al 1600A horizontal elbow LH std,4584.63,ZU-64280316P,"kr 4,416.76"
L2.07,6428T016P,1,     Al                                                                                            ,       1600A                                                                                       ,            CRT                                                                                    ,               board-trans                                                                         ,                          feed                                                                     ,                              LH                                                                   ,                                std                                                                ,                                                                                                   ,300,0,0,300,6267.53,,,,,,16,36,XCP-S Al 1600A CRT board-trans feed LH std,6442.7,ZU-6428T016P,"kr 6,267.53"
L3.01,64281007P,1,     Al                                                                                            ,       2000A                                                                                       ,            board-trans                                                                            ,                       feed                                                                        ,                           RH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,0,0,200,3896.80,,,,,,17,47,XCP-S Al 2000A board-trans feed RH std,3894.63,ZU-64281007P,"kr 3,896.80"
L3.02,64280407P,1,     Al                                                                                            ,       2000A                                                                                       ,            vertical                                                                               ,                    elbow                                                                          ,                         RH                                                                        ,                           std                                                                     ,                                                                                                   ,                                                                                                   ,300,300,0,0,6794.66,,,,,,18,48,XCP-S Al 2000A vertical elbow RH std,6949.05,ZU-64280407P,"kr 6,794.66"
L3.03,64280107P,1,     Al                                                                                            ,       2000A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=3m                                                                      ,                                                                                                   ,                                                                                                   ,                                                                                                   ,3000,0,0,0,6857.94,,,,,,19,49,XCP-S Al 2000A feeder element L=3m,7067.98,ZU-64280107P,"kr 6,857.94"
0,672EFB04,1,   kit                                                                                             ,      external                                                                                     ,              fire                                                                                 ,                  barrie                                                                           ,                        B210                                                                       ,                            AL                                                                     ,                                                                                                   ,                                                                                                   ,630,1500,0,0,3764.04,,,,,,20,50,XCP kit external fire barrie B210 AL,2986.8,ZU-672EFB04,"kr 3,764.04"
L3.04,64280127P,1,     Al                                                                                            ,       2000A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=1501-2000                                                               ,                                                                                                   ,                                                                                                   ,                                                                                                   ,2000,0,0,0,5368.47,,,,,,21,51,XCP-S Al 2000A feeder element L=1501-2000,5565.17,ZU-64280127P,"kr 5,368.47"
L3.05,64280117P,1,     Al                                                                                            ,       2000A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=500-1000                                                                ,                                                                                                   ,                                                                                                   ,                                                                                                   ,1000,0,0,0,4100.13,,,,,,22,52,XCP-S Al 2000A feeder element L=500-1000,4400.25,ZU-64280117P,"kr 4,100.13"
L3.06,64280317P,1,     Al                                                                                            ,       2000A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,4592.74,,,,,,23,53,XCP-S Al 2000A horizontal elbow LH std,4760.81,ZU-64280317P,"kr 4,592.74"
